epoch,lr,loss,iou,val_loss,val_iou
0,0.001,0.9021209146122675,0.41128138011019627,0.6221917216715059,0.6401321415512143
1,0.001,0.5380435546709074,0.6361346636164156,0.412415973842144,0.6841242801262419
2,0.001,0.36722742564774846,0.7115105293118884,0.35865128079527303,0.6646761554739259
3,0.001,0.2937427068481574,0.7475292931527029,0.3046395461025991,0.7141436159699264
4,0.001,0.24100748766717073,0.7878109303069947,0.22684412861340925,0.7770478946813303
5,0.001,0.21397480572498329,0.8041396447341403,0.21775082028225848,0.7860303773529371
6,0.001,0.181679320244773,0.8342288428343706,0.22779520748085097,0.7720343093906624
7,0.001,0.15499891428830656,0.8612645579810826,0.21085390497587228,0.7841513762899095
8,0.001,0.14561337202384667,0.8720479046146803,0.24425541864413963,0.7431067636602396
9,0.001,0.13297399178751418,0.8856348167904323,0.20833680808152022,0.7921779370620635
